COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
New Zealand,NZL,WPRO,REPORTING,4/21/2023,12252378,4241210,254.081,87.951,4084115,84.693,,2/19/2021,4,2719283,56.391
Nicaragua,NIC,AMRO,REPORTING,6/2/2023,15498213,6404524,233.951,96.679,6117158,92.341,,3/3/2021,11,2892531,43.664
Niger,NER,AFRO,REPORTING,7/30/2023,7372208,6248483,30.455,25.813,5483001,22.651,,3/29/2021,2,,
Nigeria,NGA,AFRO,REPORTING,8/6/2023,128382195,90416598,62.279,43.862,77884872,37.783,,3/5/2021,1,15657270,7.595
Niue,NIU,WPRO,REPORTING,3/4/2023,4923,1638,304.265,101.236,1635,101.051,,6/8/2021,1,1225,75.711
North Macedonia,MKD,EURO,REPORTING,5/7/2023,1862987,854570,89.4,40.629,838181,39.85,,2/17/2021,7,161633,7.685
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,5/30/2023,123536,46824,214.632,81.352,45953,79.839,,12/19/2020,3,26121,45.383
Norway,NOR,EURO,REPORTING,6/11/2023,12336663,4347197,229.8,80.129,4062204,74.876,,12/23/2020,4,3020810,55.68
occupied Palestinian territory,PSE,EMRO,REPORTING,10/18/2022,3748571,2012767,73.481,39.455,1776973,34.833,,2/2/2021,10,336967,6.605
Oman,OMN,EMRO,REPORTING,10/25/2022,7086050,3257365,138.762,63.787,3048826,59.703,,12/29/2020,11,779859,15.272
Pakistan,PAK,EMRO,REPORTING,9/10/2023,339998524,165567890,153.92,74.954,140475871,63.595,,2/3/2021,11,52176755,23.621
Palau,PLW,WPRO,REPORTING,3/10/2023,51032,18573,282.069,102.659,18278,101.028,,1/3/2021,3,12885,71.219
Panama,PAN,AMRO,REPORTING,6/2/2023,8901881,3533579,206.312,81.895,3174229,73.567,,1/20/2021,2,1769698,41.015
Papua New Guinea,PNG,WPRO,REPORTING,9/3/2023,537372,393802,6.006,4.401,332608,3.718,,3/30/2021,4,36623,0.409
Paraguay,PRY,AMRO,REPORTING,6/2/2023,9784169,3995915,137.177,56.024,3547736,49.74,,2/22/2021,8,1660692,23.283
Peru,PER,AMRO,REPORTING,6/2/2023,89593907,30487563,271.728,92.465,28654963,86.907,,2/9/2021,4,22143074,67.158
Philippines,PHL,WPRO,REPORTING,3/19/2023,189317158,82684774,172.764,75.455,78443972,71.585,,3/1/2021,11,23811248,21.729
Pitcairn Islands,PCN,WPRO,REPORTING,8/29/2022,117,47,234,94,47,94,,5/17/2021,1,23,46
Poland,POL,EURO,REPORTING,6/11/2023,58223243,22983299,153.4,61.038,22704578,60.298,,12/23/2020,5,12532074,33.282
Portugal,PRT,EURO,REPORTING,6/11/2023,27777341,9788002,269.8,94.714,8902934,86.002,,12/23/2020,12,7054573,68.147
Puerto Rico,PRI,AMRO,REPORTING,6/2/2023,7846764,2905470,274.281,101.56,2688410,93.972,,,4,1808780,63.225
Qatar,QAT,EMRO,REPORTING,5/7/2023,7609178,2852178,264.111,98.998,2852178,98.998,,,10,1904822,66.115
Republic of Korea,KOR,WPRO,REPORTING,9/4/2023,135927574,44698288,265.125,87.184,44288342,86.384,,2/26/2021,5,33644119,65.622
Republic of Moldova,MDA,EURO,REPORTING,6/11/2023,2288948,1108879,,36.22,1078505,35.228,,3/3/2021,7,402985,13.163
Romania,ROU,EURO,REPORTING,6/11/2023,16110560,8187976,83.3,42.999,8142177,42.758,,1/27/2021,4,1768737,9.288
Russian Federation,RUS,EURO,OWID,7/5/2023,186692479,88811982,127.9,61.206,79702396,54.928,,,2,,
Rwanda,RWA,AFRO,REPORTING,6/4/2023,27322059,10884714,210.945,84.037,10399665,80.293,,3/5/2021,7,4225194,32.621
Saba,XCA,AMRO,REPORTING,6/2/2023,4979,1687,257.579,87.274,1667,86.239,,,,1170,60.528
"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,5/5/2021,7892,4361,129.995,71.833,3531,58.162,,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,6/2/2023,64297,33794,120.877,63.532,27000,50.76,,2/22/2021,3,3465,6.514
Saint Lucia,LCA,AMRO,REPORTING,6/2/2023,122977,60140,66.971,32.751,54971,29.936,,2/17/2021,5,7866,4.284
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,6/2/2023,73443,37532,66.201,33.831,31632,28.513,,2/1/2021,5,4279,3.857
Samoa,WSM,WPRO,REPORTING,2/24/2023,453130,191403,228.376,96.466,177954,89.688,,4/18/2021,2,82268,41.463
